product_id,category,brand,season,size,color,original_price,markdown_percentage,current_price,purchase_date,stock_quantity,customer_rating,is_returned,return_reason,year,month,day,day_name,out_of_stock,discount_flag,rating_category
FB000035,Accessories,Forever21,Fall,Unknown,Navy,58.57,0.0,58.57,2025-08-06,38,1.5,False,No Return,2025,8,6,Wednesday,0,0,Low
FB000036,Tops,Uniqlo,Winter,XXL,White,119.7,5.7,112.88,2025-08-06,37,4.9,False,No Return,2025,8,6,Wednesday,0,1,High
FB000037,Bottoms,Banana Republic,Fall,XXL,Green,97.06,47.8,50.67,2025-08-06,31,4.1,False,No Return,2025,8,6,Wednesday,0,1,High
FB000038,Dresses,Banana Republic,Summer,L,White,110.09,0.0,110.09,2025-08-06,32,3.4,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000039,Shoes,Zara,Winter,XS,Green,198.42,14.2,170.24,2025-08-06,10,2.986604189636163,False,No Return,2025,8,6,Wednesday,0,1,Medium
FB000040,Bottoms,Banana Republic,Winter,Unknown,Purple,101.72,0.0,101.72,2025-08-06,40,2.986604189636163,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000041,Tops,Uniqlo,Summer,S,White,117.86,0.0,117.86,2025-08-06,6,2.986604189636163,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000042,Tops,Ann Taylor,Summer,M,Green,78.86,0.0,78.86,2025-08-06,22,4.3,False,No Return,2025,8,6,Wednesday,0,0,High
FB000043,Outerwear,Zara,Winter,XS,Navy,216.16,51.4,105.05,2025-08-06,36,4.0,False,No Return,2025,8,6,Wednesday,0,1,Medium
FB000044,Shoes,Zara,Spring,XL,Pink,129.85,0.0,129.85,2025-04-25,36,3.3,False,No Return,2025,4,25,Friday,0,0,Medium
FB000045,Tops,Banana Republic,Winter,XXL,Green,111.3,0.0,111.3,2025-08-06,11,1.7000000000000002,False,No Return,2025,8,6,Wednesday,0,0,Low
FB000046,Dresses,Uniqlo,Summer,XL,Brown,73.65,0.0,73.65,2025-08-06,33,3.6,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000047,Shoes,Mango,Summer,L,Pink,147.13,30.3,102.55,2025-08-06,13,4.4,False,No Return,2025,8,6,Wednesday,0,1,High
FB000048,Accessories,Ann Taylor,Winter,Unknown,Green,44.6,0.0,20.56,2025-08-06,42,2.4,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000049,Bottoms,Forever21,Summer,XL,White,101.8,0.0,101.8,2025-08-06,7,2.8,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000050,Accessories,Banana Republic,Summer,Unknown,Brown,16.52,0.0,7.29,2025-08-06,43,2.986604189636163,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000051,Bottoms,H&M,Fall,M,Beige,50.91,0.0,50.91,2025-08-06,3,1.8,False,No Return,2025,8,6,Wednesday,0,0,Low
FB000052,Outerwear,Forever21,Spring,S,White,222.26,0.0,222.26,2025-05-03,50,4.5,False,No Return,2025,5,3,Saturday,0,0,High
FB000053,Shoes,Gap,Summer,S,Navy,104.14,57.1,44.68,2025-08-06,14,1.8,False,No Return,2025,8,6,Wednesday,0,1,Low
FB000054,Outerwear,Zara,Spring,S,White,166.76,0.0,166.76,2025-06-12,21,4.2,False,No Return,2025,6,12,Thursday,0,0,High
FB000055,Accessories,Banana Republic,Fall,Unknown,Black,44.13,0.0,21.67,2025-08-06,21,3.0,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000056,Outerwear,Gap,Summer,S,Green,121.29,15.2,102.85,2025-08-06,42,2.986604189636163,False,No Return,2025,8,6,Wednesday,0,1,Medium
FB000057,Tops,H&M,Spring,S,Beige,73.71,0.0,73.71,2025-07-10,35,3.9,True,Quality Issue,2025,7,10,Thursday,0,0,Medium
FB000058,Bottoms,Zara,Spring,XL,Brown,84.07,26.3,61.96,2024-10-25,19,2.3,True,Size Issue,2024,10,25,Friday,0,1,Medium
FB000059,Tops,Mango,Summer,XS,Black,28.59,0.0,28.59,2025-08-06,39,1.4,False,No Return,2025,8,6,Wednesday,0,0,Low
FB000060,Shoes,Mango,Winter,XXL,Blue,166.49,2.6,162.16,2025-08-06,27,2.986604189636163,False,No Return,2025,8,6,Wednesday,0,1,Medium
FB000061,Shoes,Ann Taylor,Summer,M,White,145.95,6.6,136.32,2025-08-06,15,4.0,False,No Return,2025,8,6,Wednesday,0,1,Medium
FB000062,Outerwear,Gap,Fall,M,Purple,218.42,0.0,218.42,2025-08-06,33,4.4,True,Changed Mind,2025,8,6,Wednesday,0,0,High
FB000063,Accessories,Forever21,Winter,Unknown,White,46.17,1.1,45.66,2025-08-06,30,1.9,False,No Return,2025,8,6,Wednesday,0,1,Low
FB000064,Shoes,H&M,Summer,Unknown,Green,106.18,18.0,87.07,2025-08-06,11,4.5,False,No Return,2025,8,6,Wednesday,0,1,High
FB000065,Tops,Zara,Winter,XS,Gray,93.33,2.4,91.09,2025-08-06,20,4.2,False,No Return,2025,8,6,Wednesday,0,1,High
FB000066,Bottoms,Mango,Spring,XS,White,86.54,21.7,67.76,2025-06-01,21,3.6,True,Changed Mind,2025,6,1,Sunday,0,1,Medium
FB000067,Accessories,Ann Taylor,Summer,Unknown,Green,55.57,0.0,55.57,2025-08-06,44,3.8,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000068,Tops,Forever21,Spring,XL,Black,76.5,0.0,76.5,2025-01-26,17,4.6,False,No Return,2025,1,26,Sunday,0,0,High
FB000069,Dresses,Forever21,Spring,XS,Green,137.19,9.5,124.16,2025-04-01,17,2.986604189636163,False,No Return,2025,4,1,Tuesday,0,1,Medium
FB000070,Tops,Zara,Summer,XL,Purple,48.92,19.8,39.23,2025-08-06,17,2.6,False,No Return,2025,8,6,Wednesday,0,1,Medium
FB000071,Shoes,Ann Taylor,Winter,XL,White,69.82,0.0,69.82,2025-08-06,46,2.986604189636163,True,Wrong Item,2025,8,6,Wednesday,0,0,Medium
FB000072,Outerwear,Mango,Summer,XXL,Red,199.39,7.4,184.64,2025-08-06,49,2.986604189636163,False,No Return,2025,8,6,Wednesday,0,1,Medium
FB000073,Outerwear,Banana Republic,Summer,M,White,222.09,55.2,99.5,2025-08-06,21,4.5,False,No Return,2025,8,6,Wednesday,0,1,High
FB000074,Tops,Mango,Fall,XS,Red,112.86,0.0,112.86,2025-08-06,8,2.9,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000075,Dresses,Mango,Spring,XS,Green,100.96,0.0,100.96,2025-05-10,32,3.3,False,No Return,2025,5,10,Saturday,0,0,Medium
FB000076,Outerwear,Gap,Spring,XL,Green,243.56,48.0,126.65,2024-10-14,22,4.4,True,Changed Mind,2024,10,14,Monday,0,1,High
FB000077,Dresses,Mango,Spring,XXL,Red,153.32,0.0,153.32,2024-09-13,43,2.9,False,No Return,2024,9,13,Friday,0,0,Medium
FB000078,Accessories,Uniqlo,Fall,Unknown,Purple,42.95,22.5,33.29,2025-08-06,7,1.9,True,Size Issue,2025,8,6,Wednesday,0,1,Low
FB000079,Tops,H&M,Summer,S,Green,30.79,0.0,30.79,2025-08-06,36,3.4,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000080,Accessories,Uniqlo,Fall,Unknown,Brown,59.85,0.0,59.85,2025-08-06,38,4.0,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000081,Tops,Banana Republic,Spring,S,Navy,78.16,19.1,63.23,2025-07-25,23,2.986604189636163,False,No Return,2025,7,25,Friday,0,1,Medium
FB000082,Tops,Ann Taylor,Fall,M,White,113.17,19.1,91.55,2025-08-06,15,4.9,False,No Return,2025,8,6,Wednesday,0,1,High
FB000083,Dresses,Ann Taylor,Winter,S,Blue,174.13,0.0,174.13,2025-08-06,34,3.7,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000084,Shoes,Zara,Summer,XS,Purple,191.96,0.0,191.96,2025-08-06,50,2.986604189636163,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000085,Outerwear,Ann Taylor,Spring,XL,Beige,222.55,22.6,172.25,2025-02-10,50,2.986604189636163,False,No Return,2025,2,10,Monday,0,1,Medium
FB000086,Bottoms,Forever21,Winter,XS,Black,37.85,11.9,33.35,2025-08-06,45,3.4,True,Changed Mind,2025,8,6,Wednesday,0,1,Medium
FB000087,Outerwear,Uniqlo,Summer,M,Gray,241.09,0.0,241.09,2025-08-06,26,2.986604189636163,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000088,Dresses,Banana Republic,Spring,S,Navy,136.97,0.0,136.97,2024-10-25,17,4.4,True,Quality Issue,2024,10,25,Friday,0,0,High
FB000089,Shoes,H&M,Spring,M,Blue,113.79,55.3,50.86,2024-12-29,47,4.1,False,No Return,2024,12,29,Sunday,0,1,High
FB000090,Bottoms,H&M,Summer,XXL,White,93.23,40.0,55.94,2025-08-06,46,1.9,False,No Return,2025,8,6,Wednesday,0,1,Low
FB000091,Shoes,Uniqlo,Spring,S,Navy,106.24,6.4,99.44,2024-09-09,50,1.5,False,No Return,2024,9,9,Monday,0,1,Low
FB000092,Accessories,Zara,Winter,Unknown,Brown,30.95,0.0,30.95,2025-08-06,27,3.1,True,Changed Mind,2025,8,6,Wednesday,0,0,Medium
FB000093,Shoes,Zara,Summer,S,Black,76.92,49.5,38.84,2025-08-06,7,1.1,False,No Return,2025,8,6,Wednesday,0,1,Low
FB000094,Bottoms,H&M,Fall,XS,Beige,80.64,0.0,80.64,2025-08-06,26,2.986604189636163,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000095,Bottoms,Zara,Fall,XS,Beige,32.46,0.0,15.45,2025-08-06,14,3.9,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000096,Accessories,Gap,Summer,Unknown,Black,54.79,0.0,54.79,2025-08-06,12,4.5,False,No Return,2025,8,6,Wednesday,0,0,High
FB000097,Bottoms,H&M,Winter,M,Pink,71.14,56.4,31.02,2025-08-06,12,3.4,False,No Return,2025,8,6,Wednesday,0,1,Medium
FB000098,Bottoms,Ann Taylor,Summer,XXL,Navy,57.85,0.0,57.85,2025-08-06,36,3.5,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000099,Bottoms,Zara,Summer,XS,Green,33.37,3.0,32.37,2025-08-06,40,1.3,False,No Return,2025,8,6,Wednesday,0,1,Low
FB000100,Tops,Gap,Summer,L,Black,91.83,0.0,91.83,2025-08-06,39,4.9,False,No Return,2025,8,6,Wednesday,0,0,High
FB000101,Bottoms,Zara,Fall,L,White,60.12,19.5,48.4,2025-08-06,42,1.0,False,No Return,2025,8,6,Wednesday,0,1,Low
FB000102,Dresses,Banana Republic,Winter,S,White,163.5,0.0,163.5,2025-08-06,34,4.9,False,No Return,2025,8,6,Wednesday,0,0,High
FB000103,Dresses,Uniqlo,Spring,S,Beige,126.37,0.0,126.37,2024-11-08,25,1.8,False,No Return,2024,11,8,Friday,0,0,Low
FB000104,Bottoms,Uniqlo,Winter,L,Navy,50.01,0.0,20.9,2025-08-06,32,4.8,False,No Return,2025,8,6,Wednesday,0,0,High
FB000105,Shoes,H&M,Winter,S,Red,84.31,0.0,84.31,2025-08-06,10,3.9,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000106,Bottoms,Banana Republic,Spring,XL,Beige,100.98,0.0,100.98,2025-06-17,21,2.8,False,No Return,2025,6,17,Tuesday,0,0,Medium
FB000107,Bottoms,Banana Republic,Summer,M,Beige,38.02,0.0,38.02,2025-08-06,44,4.7,False,No Return,2025,8,6,Wednesday,0,0,High
FB000108,Bottoms,H&M,Fall,XL,Blue,63.85,0.0,63.85,2025-08-06,41,2.986604189636163,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000109,Shoes,H&M,Fall,XS,Navy,183.15,0.0,183.15,2025-08-06,23,4.1,False,No Return,2025,8,6,Wednesday,0,0,High
FB000110,Dresses,Zara,Winter,S,Gray,91.0,59.5,36.86,2025-08-06,5,3.9,False,No Return,2025,8,6,Wednesday,0,1,Medium
FB000111,Outerwear,Uniqlo,Spring,L,Black,92.83,0.0,92.83,2025-07-20,9,1.2,False,No Return,2025,7,20,Sunday,0,0,Low
FB000112,Accessories,Banana Republic,Winter,Unknown,Brown,34.45,0.0,34.45,2025-08-06,4,4.5,False,No Return,2025,8,6,Wednesday,0,0,High
FB000113,Dresses,H&M,Fall,S,Purple,128.15,50.0,64.08,2025-08-06,28,3.2,False,No Return,2025,8,6,Wednesday,0,1,Medium
FB000114,Tops,Mango,Summer,XXL,Red,99.62,33.8,65.95,2025-08-06,27,2.1,False,No Return,2025,8,6,Wednesday,0,1,Medium
FB000115,Bottoms,Forever21,Winter,S,Pink,87.39,25.5,65.11,2025-08-06,8,2.3,False,No Return,2025,8,6,Wednesday,0,1,Medium
FB000116,Tops,Zara,Spring,XXL,Brown,49.67,0.0,49.67,2024-09-06,37,2.3,False,No Return,2024,9,6,Friday,0,0,Medium
FB000117,Accessories,Uniqlo,Fall,Unknown,Brown,72.04,0.0,72.04,2025-08-06,48,2.986604189636163,True,Wrong Item,2025,8,6,Wednesday,0,0,Medium
FB000118,Dresses,Zara,Spring,M,Navy,133.82,0.0,133.82,2024-11-25,12,1.7000000000000002,False,No Return,2024,11,25,Monday,0,0,Low
FB000119,Bottoms,Uniqlo,Winter,S,Black,62.93,0.0,62.93,2025-08-06,49,2.986604189636163,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000120,Outerwear,Zara,Spring,L,Red,248.58,0.0,248.58,2025-07-04,27,1.5,False,No Return,2025,7,4,Friday,0,0,Low
FB000121,Shoes,Uniqlo,Fall,XXL,Navy,61.08,0.0,61.08,2025-08-06,27,2.986604189636163,True,Changed Mind,2025,8,6,Wednesday,0,0,Medium
FB000122,Bottoms,Gap,Winter,S,Red,109.12,0.0,109.12,2025-08-06,34,2.986604189636163,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000123,Outerwear,Zara,Winter,XXL,Purple,82.91,45.9,44.85,2025-08-06,24,2.986604189636163,True,Quality Issue,2025,8,6,Wednesday,0,1,Medium
FB000124,Shoes,H&M,Summer,XS,Purple,113.53,10.9,101.16,2025-08-06,40,2.8,False,No Return,2025,8,6,Wednesday,0,1,Medium
FB000125,Accessories,Uniqlo,Winter,Unknown,Brown,38.89,0.0,18.86,2025-08-06,28,4.3,False,No Return,2025,8,6,Wednesday,0,0,High
FB000126,Dresses,Gap,Spring,XXL,Black,53.01,45.9,28.68,2025-01-14,37,3.7,False,No Return,2025,1,14,Tuesday,0,1,Medium
FB000127,Shoes,Ann Taylor,Spring,XXL,Blue,81.64,0.0,81.64,2024-12-06,50,1.1,False,No Return,2024,12,6,Friday,0,0,Low
FB000128,Shoes,Ann Taylor,Spring,XXL,White,125.24,21.5,98.31,2024-09-06,7,2.9,False,No Return,2024,9,6,Friday,0,1,Medium
FB000129,Outerwear,Ann Taylor,Spring,XS,Pink,98.61,0.0,98.61,2025-03-05,1,2.6,False,No Return,2025,3,5,Wednesday,0,0,Medium
FB000130,Shoes,Gap,Fall,XS,Blue,77.54,0.0,77.54,2025-08-06,36,3.4,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000131,Dresses,Banana Republic,Spring,XL,Purple,79.13,0.0,79.13,2024-11-16,11,3.6,False,No Return,2024,11,16,Saturday,0,0,Medium
FB000132,Bottoms,Mango,Spring,S,Green,96.11,0.0,96.11,2025-04-12,13,4.2,False,No Return,2025,4,12,Saturday,0,0,High
FB000133,Tops,Mango,Spring,XL,White,116.61,0.0,116.61,2024-11-04,31,2.986604189636163,False,No Return,2024,11,4,Monday,0,0,Medium
FB000134,Accessories,Ann Taylor,Winter,Unknown,Blue,57.8,27.0,42.19,2025-08-06,9,1.8,False,No Return,2025,8,6,Wednesday,0,1,Low
FB000135,Tops,H&M,Spring,S,White,110.78,0.0,110.78,2025-01-13,9,1.4,False,No Return,2025,1,13,Monday,0,0,Low
FB000136,Tops,Gap,Spring,L,Black,112.63,0.0,112.63,2024-10-14,50,3.6,True,Quality Issue,2024,10,14,Monday,0,0,Medium
FB000137,Tops,H&M,Summer,XS,Purple,89.36,0.0,89.36,2025-08-06,24,4.3,True,Damaged,2025,8,6,Wednesday,0,0,High
FB000138,Outerwear,Forever21,Fall,M,Pink,127.99,0.0,127.99,2025-08-06,16,2.986604189636163,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000139,Bottoms,Zara,Winter,XXL,Beige,54.88,0.0,22.61,2025-08-06,50,3.5,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000140,Shoes,Uniqlo,Spring,L,White,154.13,0.0,154.13,2024-10-01,31,4.1,True,Size Issue,2024,10,1,Tuesday,0,0,High
FB000141,Dresses,Ann Taylor,Spring,XS,Gray,131.5,0.0,131.5,2024-11-03,5,2.986604189636163,False,No Return,2024,11,3,Sunday,0,0,Medium
FB000142,Outerwear,Gap,Summer,M,Blue,133.26,0.0,133.26,2025-08-06,29,1.3,False,No Return,2025,8,6,Wednesday,0,0,Low
FB000143,Shoes,Forever21,Winter,XL,Red,173.91,0.0,173.91,2025-08-06,21,2.986604189636163,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000144,Tops,H&M,Spring,L,Beige,102.99,0.0,102.99,2025-07-16,41,3.9,False,No Return,2025,7,16,Wednesday,0,0,Medium
FB000145,Outerwear,Zara,Spring,L,Beige,87.78,45.3,48.02,2025-02-17,34,1.8,False,No Return,2025,2,17,Monday,0,1,Low
FB000146,Tops,Uniqlo,Winter,Unknown,Beige,91.8,15.8,77.3,2025-08-06,30,4.2,False,No Return,2025,8,6,Wednesday,0,1,High
FB000147,Tops,Zara,Winter,L,White,107.32,25.4,80.06,2025-08-06,50,4.4,False,No Return,2025,8,6,Wednesday,0,1,High
FB000148,Bottoms,Banana Republic,Spring,XXL,Brown,67.69,57.3,28.9,2025-07-24,50,4.6,False,No Return,2025,7,24,Thursday,0,1,High
FB000149,Tops,Ann Taylor,Summer,M,Beige,68.11,46.0,36.78,2025-08-06,3,2.5,False,No Return,2025,8,6,Wednesday,0,1,Medium
FB000150,Shoes,Banana Republic,Spring,L,Blue,94.29,0.0,94.29,2024-09-15,18,1.7000000000000002,False,No Return,2024,9,15,Sunday,0,0,Low
FB000151,Tops,Ann Taylor,Winter,XL,Gray,94.97,0.0,94.97,2025-08-06,46,4.3,False,No Return,2025,8,6,Wednesday,0,0,High
FB000152,Shoes,Banana Republic,Winter,M,Navy,65.87,11.4,58.36,2025-08-06,15,3.9,False,No Return,2025,8,6,Wednesday,0,1,Medium
FB000153,Dresses,Zara,Winter,XXL,Blue,155.06,29.4,109.47,2025-08-06,5,3.6,False,No Return,2025,8,6,Wednesday,0,1,Medium
FB000154,Outerwear,Zara,Winter,L,Brown,172.59,0.0,172.59,2025-08-06,1,2.1,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000155,Dresses,H&M,Summer,M,Blue,68.72,0.0,68.72,2025-08-06,28,1.7000000000000002,True,Quality Issue,2025,8,6,Wednesday,0,0,Low
FB000156,Tops,Banana Republic,Spring,XL,Blue,28.78,0.0,28.78,2024-10-03,21,2.986604189636163,False,No Return,2024,10,3,Thursday,0,0,Medium
FB000157,Outerwear,H&M,Winter,XXL,Black,110.32,28.3,79.1,2025-08-06,49,3.3,False,No Return,2025,8,6,Wednesday,0,1,Medium
FB000158,Shoes,Mango,Summer,XXL,Black,194.24,0.0,194.24,2025-08-06,17,1.2,True,Changed Mind,2025,8,6,Wednesday,0,0,Low
FB000159,Shoes,Gap,Fall,XS,Beige,175.91,0.0,175.91,2025-08-06,4,2.8,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000160,Bottoms,Mango,Winter,XXL,Gray,79.34,0.0,79.34,2025-08-06,30,4.4,False,No Return,2025,8,6,Wednesday,0,0,High
FB000161,Bottoms,H&M,Summer,M,Green,111.88,0.0,111.88,2025-08-06,41,4.5,False,No Return,2025,8,6,Wednesday,0,0,High
FB000162,Accessories,Gap,Spring,Unknown,Navy,42.84,40.6,25.45,2024-09-12,18,2.6,False,No Return,2024,9,12,Thursday,0,1,Medium
FB000163,Bottoms,Gap,Spring,XXL,Navy,26.28,1.1,25.99,2025-06-20,35,5.0,False,No Return,2025,6,20,Friday,0,1,High
FB000164,Accessories,H&M,Spring,Unknown,Green,23.11,0.0,23.11,2024-09-17,2,1.4,False,No Return,2024,9,17,Tuesday,0,0,Low
FB000165,Shoes,Zara,Winter,M,White,168.36,0.0,168.36,2025-08-06,47,2.986604189636163,True,Damaged,2025,8,6,Wednesday,0,0,Medium
FB000166,Shoes,Gap,Fall,XL,Green,99.26,0.0,99.26,2025-08-06,33,2.986604189636163,True,Quality Issue,2025,8,6,Wednesday,0,0,Medium
FB000167,Accessories,Mango,Spring,Unknown,Black,53.66,0.0,53.66,2024-12-19,40,2.8,False,No Return,2024,12,19,Thursday,0,0,Medium
FB000168,Accessories,Ann Taylor,Summer,Unknown,Gray,69.71,18.0,57.16,2025-08-06,34,4.2,True,Color Mismatch,2025,8,6,Wednesday,0,1,High
FB000169,Dresses,Forever21,Fall,XXL,Gray,60.3,21.4,47.4,2025-08-06,4,3.6,False,No Return,2025,8,6,Wednesday,0,1,Medium
FB000170,Shoes,Banana Republic,Winter,XXL,Red,113.58,0.0,113.58,2025-08-06,33,4.9,True,Wrong Item,2025,8,6,Wednesday,0,0,High
FB000171,Bottoms,Ann Taylor,Fall,XS,Brown,54.86,1.7000000000000002,53.93,2025-08-06,40,2.5,False,No Return,2025,8,6,Wednesday,0,1,Medium
FB000172,Tops,Zara,Winter,XS,Red,92.25,0.0,92.25,2025-08-06,13,2.8,True,Damaged,2025,8,6,Wednesday,0,0,Medium
FB000173,Accessories,Ann Taylor,Winter,Unknown,White,54.07,0.0,54.07,2025-08-06,47,4.6,False,No Return,2025,8,6,Wednesday,0,0,High
FB000174,Shoes,Banana Republic,Winter,XL,Red,104.4,0.0,104.4,2025-08-06,41,3.4,False,No Return,2025,8,6,Wednesday,0,0,Medium
FB000175,Dresses,Ann Taylor,Spring,M,Gray,45.97,0.0,45.97,2024-08-28,37,3.2,True,Quality Issue,2024,8,28,Wednesday,0,0,Medium
FB000176,Tops,Ann Taylor,Summer,XXL,Black,28.79,0.0,28.79,2025-08-06,4,4.4,False,No Return,2025,8,6,Wednesday,0,0,High
